	0
a	130169175216
abide	11
able	1
about	13213236
above	111
absence	1
absurd	11
accept	1
acceptance	1
accepted	2
accepting	1
access	10
accessed	1
accessible	1
accident	2
accidentally	1
accordance	2
account	1
accounting	1
accounts	1
accusation	1
accustomed	1
ache	1
across	23
act	1
active	2
actual	1
actually	1
ada	1
added	2579
adding	1
addition	1
additional	4
additions	1
address	1
addressed	2
addresses	1
addressing	1
adjourn	1
adoption	1
advance	3
advantage	12
adventures	444
advice	11
advisable	2
advise	1
affair	1
affectionately	1
afford	1
afore	1
afraid	1155
after	111589
afterwards	11
again	10132832
against	1135
age	112
aged	1
agent	1
ago	11
agony	1
agree	29
agreed	1
agreement	18
ah	122
ahem	1
air	2247
airs	1
ak	1
alarm	2
alarmed	1
alas	4
alice	11112212743
alive	12
all	33535757
allow	1111
almost	125
alone	1112
along	24
aloud	23
already	111
also	112
alteration	1
altered	1
alternate	1
alternately	1
altogether	23
always	1345
am	169
ambition	1
among	255
an	12161617
ancient	1
and	194198235313
anger	11
angrily	1224
angry	23
animal	2
animals	13
ann	4
annoy	1
annoyed	1
another	1579
answer	1134
answered	1111
answers	1
antipathies	1
anxious	12
anxiously	2345
any	1017418
anyone	14
anything	3478
anywhere	111
appealed	1
appear	111
appearance	1
appeared	125
appearing	11
appears	1
applause	1
apple	1
apples	2
applicable	3
apply	1
approach	1
arch	1
archbishop	2
arches	4
archive	13
are	12161926
argue	1
argued	1
argument	13
arguments	1
arise	1
arithmetic	1
arm	2256
arms	114
around	12
arranged	1
array	1
arrived	1
arrow	1
arrum	1
as	51608182
ascii	2
ashamed	11
ask	1334
askance	1
asked	1367
asking	122
asleep	125
assembled	11
assistance	1
associated	8
at	52575860
ate	1
atheling	1
atom	2
attached	1
attempt	1
attempted	1
attempts	1
attended	1
attending	12
attends	1
audibly	1
australia	1
author	1
authority	11
available	2
avoid	1
away	5689
awfully	1
axes	1
axis	1
b	3
baby	122
back	121548
backs	1
bad	2
bag	1
baked	1
balanced	1
balls	1
bank	12
banks	1
banquet	1
bark	2
barking	1
barley	1
barrowful	2
based	2
bat	12
bathing	1
bats	4
bawled	1
be	28354559
beak	1
bear	11
beast	1
beasts	11
beat	13
beating	2
beau	22
beauti	1
beautiful	157
beautifully	2
beautify	1
became	11
because	1357
become	1112
becoming	1
bed	1
beds	11
bee	1
been	101279
before	111478
beg	26
began	11121718
begged	1
begin	2335
beginning	1257
begins	112
begun	1123
behead	1
beheaded	3
beheading	1
behind	2344
being	2458
believe	2223
believed	1
bells	1
belong	1
belongs	11
beloved	1
below	114
belt	1
bend	11
bent	1
besides	112
best	2226
better	1346
between	123
bill	1142
binary	1
bird	11
birds	127
birthday	1
bit	1339
bite	2
bitter	1
blacking	1
blades	1
blame	1
blasts	2
bleeds	1
blew	2
blow	11
blown	1
blows	1
body	2
boldly	1
bone	1
bones	1
book	146
books	11
boon	1
boots	13
bore	1
both	1366
bother	1
bottle	10
bottom	13
bough	1
bound	12
bowed	112
bowing	1
box	145
boxed	1
boy	12
brain	1
branch	1
branches	11
brandy	1
brass	1
brave	1
breach	2
bread	25
break	11
breath	22
breathe	12
breeze	1
bright	1124
brightened	11
bring	12
bringing	111
bristling	1
broke	2
broken	114
brother	1
brought	12
brown	11
brush	1
brushing	1
burn	2
burning	1
burnt	1
burst	1
bursting	1
busily	112
business	1134
busy	11
but	27365062
butter	45
buttercup	1
buttered	1
butterfly	1
buttons	1
by	11192028
bye	11
c	15
cackled	1
cake	3
cakes	3
calculate	1
calculated	1
call	1233
called	1257
calling	1
calmly	1
came	141448
camomile	1
can	15182020
canary	1
candle	3
cannot	5
canterbury	1
canvas	1
capering	1
capital	4
card	1
cardboard	1
cards	12
care	112
carefully	111
cares	11
carried	22
carrier	1
carroll	13
carry	11
carrying	2
cart	1
cartwheels	1
case	23
cat	11224
catch	4
catching	2
caterpillar	127
cats	112
cattle	1
caucus	3
caught	12
cauldron	2
cause	23
caused	2
cautiously	12
cease	1
ceiling	1
centre	1
certain	23
certainly	1238
chain	1
chains	1
chair	1
chance	112
chanced	1
change	3444
changed	35
changes	2
changing	2
chapter	2334
character	11
charge	6
charges	11
charitable	1
charities	1
chatte	1
cheap	1
cheated	1
check	2
checked	3
checks	1
cheeks	1
cheered	12
cheerfully	1
cherry	1
cheshire	34
chief	11
child	1244
childhood	1
children	1144
chimney	6
chimneys	1
chin	124
choice	2
choke	1
choked	12
choking	1
choose	1
choosing	1
chop	1
chorus	123
chose	11
christmas	1
chrysalis	1
chuckled	1
circle	1
circumstances	1
city	1
civil	3
claim	1
clamour	1
clapping	1
clasped	1
classics	1
claws	11
clean	1
clear	11
cleared	1
clearer	1
clearly	11
clever	11
climb	1
clinging	1
clock	5
close	148
closed	11
closely	1
closer	1
clubs	1
coast	1
coaxing	2
codes	1
coils	1
cold	1
collar	1
collected	11
collection	4
come	1015157
comes	11
comfits	2
comfort	1
comfortable	1
comfortably	1
coming	126
commercial	1
committed	1
common	1
commotion	1
company	1
compilation	1
complained	1
complaining	1
completely	1
compliance	5
comply	6
complying	3
compressed	1
computer	2
computers	2
concept	2
concerning	2
concert	11
concluded	11
conclusion	11
condemn	1
conduct	1
confirmation	1
confirmed	1
confused	1111
confusing	12
confusion	122
conger	1
conqueror	2
conquest	1
consented	1
consequential	1
consider	13
considerable	2
considered	12
considering	12
constant	111
consultation	1
contact	4
contain	2
containing	1
contempt	1
contemptuous	1
contemptuously	2
content	1
continued	1233
contract	1
contradicted	1
contributions	2
conversation	225
conversations	2
convert	1
cook	157
cool	11
copied	2
copies	7
copy	111
copying	4
copyright	14
corner	13
corners	1
corporation	1
corrupt	1
cost	112
costs	2
could	13192125
couldn	126
counting	1
countries	1
country	12
couple	1
couples	1
courage	12
course	10566
court	18
courtiers	2
coward	1
crab	12
crash	12
crashed	1
crawled	1
crawling	1
crazy	1
created	2
creating	4
creation	1
creature	13
creatures	1234
credit	1
creep	1
crept	1
cried	10334
cries	1
crimson	2
critical	1
crocodile	1
croquet	144
croqueted	1
croqueting	1
cross	12
crossed	12
crossly	1
crouched	1
crowd	112
crowded	14
crown	111
crumbs	13
crust	1
cry	12
crying	2
cucumber	2
cunning	1
cup	2
cupboards	2
cur	1
curiosity	122
curious	2449
curiouser	2
curled	11
curls	1
curly	1
currants	1
current	1
curtain	1
curtsey	1
curtseying	1
curving	1
cushion	11
custard	1
custody	2
cut	113
cutting	1
d	10488
dainties	1
daisies	1
daisy	1
damage	2
damaged	1
damages	4
dance	13
dancing	2
dare	122
daresay	1
dark	3
darkness	1
data	1
date	22
dates	1
daughter	1
day	101144
days	35
dead	22
deal	255
dear	19244
dears	12
death	1
decided	111
decidedly	22
declare	11
declared	1
deductible	1
deep	133
deepest	1
deeply	13
defect	3
defective	3
defects	1
delay	1
deletions	1
delight	12
delighted	11
delightful	2
demand	1
denial	1
denied	11
denies	1
deny	2
denying	1
depends	11
derision	1
derivative	3
derive	1
derived	1
described	1
deserved	1
desk	1
desks	1
despair	1
desperate	1
desperately	1
despite	1
destroy	2
detach	1
determine	1
diamonds	1
did	10161720
didn	2444
die	1
died	1
different	1135
difficult	11
difficulties	1
difficulty	112
dig	1
digging	13
diligently	1
dinah	14
dinn	2
dinner	11
dipped	11
direct	1
directed	2
direction	14
directions	111
directly	12
director	1
disagree	1
disappeared	11
disappointment	1
disclaim	1
disclaimer	3
disclaimers	1
discontinue	1
discover	1
discovered	1
disgust	1
dish	112
dishes	11
disk	1
dismay	1
disobey	1
display	1
displayed	1
displaying	4
dispute	2
distance	224
distant	11
distraction	1
distribute	6
distributed	4
distributing	7
distribution	6
distributor	1
dive	1
do	2231369
dodged	1
dodo	13
does	2234
doesn	2347
dog	12
dogs	3
doing	1112
domain	8
don	1219237
donate	4
donation	1
donations	15
done	2445
donors	1
door	17229
doors	2
doorway	1
dormouse	13243
doth	12
double	1
doubled	1
doubling	1
doubt	22
doubtful	2
doubtfully	11
down	15171753
downloading	1
downward	1
downwards	1
doze	1
dozing	1
dr	2
draggled	1
draw	7
