i	113.0,106.0,0.007060135009599306,0.005933895297249334
iain	1,0,0.00012386201771226853,5.5456965394853596e-05
ica	0,1,6.193100885613426e-05,0.00011091393078970719
iccenergy	1,0,0.00012386201771226853,5.5456965394853596e-05
icet	0,1,6.193100885613426e-05,0.00011091393078970719
icon	0,1,6.193100885613426e-05,0.00011091393078970719
id	10.0,3.0,0.0006812410974174769,0.00022182786157941438
idea	1.0,3.0,0.00012386201771226853,0.00022182786157941438
ideas	3.0,3.0,0.00024772403542453706,0.00022182786157941438
identified	0,1,6.193100885613426e-05,0.00011091393078970719
identifies	0,1,6.193100885613426e-05,0.00011091393078970719
identify	2.0,0,0.0001857930265684028,5.5456965394853596e-05
idiot	0,1,6.193100885613426e-05,0.00011091393078970719
idirect	0,1,6.193100885613426e-05,0.00011091393078970719
ids	1,0,0.00012386201771226853,5.5456965394853596e-05
ien	0,1,6.193100885613426e-05,0.00011091393078970719
if	32.0,55.0,0.002043723292252431,0.003105590062111801
igh	0,1,6.193100885613426e-05,0.00011091393078970719
ihf	0,1,6.193100885613426e-05,0.00011091393078970719
ii	3.0,0,0.00024772403542453706,5.5456965394853596e-05
illness	0,1,6.193100885613426e-05,0.00011091393078970719
illustrate	0,2.0,6.193100885613426e-05,0.00016637089618456077
illustration	0,1,6.193100885613426e-05,0.00011091393078970719
illustrator	0,2.0,6.193100885613426e-05,0.00016637089618456077
ilydiatt	1,0,0.00012386201771226853,5.5456965394853596e-05
image	0,9.0,6.193100885613426e-05,0.0005545696539485359
imagine	0,1,6.193100885613426e-05,0.00011091393078970719
imitate	0,1,6.193100885613426e-05,0.00011091393078970719
immediate	0,2.0,6.193100885613426e-05,0.00016637089618456077
immediately	3.0,16.0,0.00024772403542453706,0.0009427684117125111
impact	3.0,0,0.00024772403542453706,5.5456965394853596e-05
impacted	1,0,0.00012386201771226853,5.5456965394853596e-05
imperial	2.0,0,0.0001857930265684028,5.5456965394853596e-05
implement	1,0,0.00012386201771226853,5.5456965394853596e-05
implementation	9.0,0,0.0006193100885613427,5.5456965394853596e-05
implementing	1,0,0.00012386201771226853,5.5456965394853596e-05
important	4.0,5.0,0.00030965504428067135,0.00033274179236912155
importantly	1,0,0.00012386201771226853,5.5456965394853596e-05
impossible	0,1,6.193100885613426e-05,0.00011091393078970719
impresses	0,1,6.193100885613426e-05,0.00011091393078970719
impression	0,1,6.193100885613426e-05,0.00011091393078970719
impressive	0,1,6.193100885613426e-05,0.00011091393078970719
improve	0,1,6.193100885613426e-05,0.00011091393078970719
improved	2.0,3.0,0.0001857930265684028,0.00022182786157941438
improving	0,1,6.193100885613426e-05,0.00011091393078970719
impulse	0,1,6.193100885613426e-05,0.00011091393078970719
in	160.0,157.0,0.009970892425837617,0.008762200532386868
iname	0,1,6.193100885613426e-05,0.00011091393078970719
inappropriate	0,1,6.193100885613426e-05,0.00011091393078970719
inbox	0,1,6.193100885613426e-05,0.00011091393078970719
inc	9.0,1.0,0.0006193100885613427,0.00011091393078970719
incessantly	0,1,6.193100885613426e-05,0.00011091393078970719
include	3.0,9.0,0.00024772403542453706,0.0005545696539485359
included	1.0,5.0,0.00012386201771226853,0.00033274179236912155
including	12.0,3.0,0.0008051031151297454,0.00022182786157941438
inclusive	0,1,6.193100885613426e-05,0.00011091393078970719
income	0,2.0,6.193100885613426e-05,0.00016637089618456077
incomeunlimited	0,1,6.193100885613426e-05,0.00011091393078970719
incorporated	1,0,0.00012386201771226853,5.5456965394853596e-05
incorrectly	1,0,0.00012386201771226853,5.5456965394853596e-05
increase	3.0,4.0,0.00024772403542453706,0.00027728482697426796
increased	0,5.0,6.193100885613426e-05,0.00033274179236912155
increases	2.0,0,0.0001857930265684028,5.5456965394853596e-05
increasing	2.0,0,0.0001857930265684028,5.5456965394853596e-05
increasingly	1,0,0.00012386201771226853,5.5456965394853596e-05
incredibily	0,1,6.193100885613426e-05,0.00011091393078970719
incurred	0,2.0,6.193100885613426e-05,0.00016637089618456077
india	1,0,0.00012386201771226853,5.5456965394853596e-05
indicated	1,0,0.00012386201771226853,5.5456965394853596e-05
indication	1,0,0.00012386201771226853,5.5456965394853596e-05
indicator	0,1,6.193100885613426e-05,0.00011091393078970719
indices	1,0,0.00012386201771226853,5.5456965394853596e-05
